Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Project/rack-device-3d/Cisco-N9KC9336C-FX2/v001/model/08-neutral-studio-calibrated.blend"
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port05_spring_1_-2.8
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port05_spring_1_0
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port05_spring_1_2.8
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port05_subtle_recessed_contact_ro
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing BUSINESS_PORT_07_QSFP28_EMPTY
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port07_recessed_connector_stop
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port07_connector_contact_surround
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port07_guide_-1_-4.25
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port07_guide_-1_4.25
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port07_spring_-1_-2.8
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port07_spring_-1_0
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port07_spring_-1_2.8
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port07_guide_1_-4.25
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port07_guide_1_4.25
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port07_spring_1_-2.8
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port07_spring_1_0
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port07_spring_1_2.8
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port07_subtle_recessed_contact_ro
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing BUSINESS_PORT_09_QSFP28_EMPTY
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port09_recessed_connector_stop
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port09_connector_contact_surround
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port09_guide_-1_-4.25
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port09_guide_-1_4.25
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port09_spring_-1_-2.8
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port09_spring_-1_0
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port09_spring_-1_2.8
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port09_guide_1_-4.25
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port09_guide_1_4.25
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port09_spring_1_-2.8
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port09_spring_1_0
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port09_spring_1_2.8
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port09_subtle_recessed_contact_ro
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing BUSINESS_PORT_11_QSFP28_EMPTY
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port11_recessed_connector_stop
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port11_connector_contact_surround
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port11_guide_-1_-4.25
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port11_guide_-1_4.25
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port11_spring_-1_-2.8
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port11_spring_-1_0
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port11_spring_-1_2.8
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port11_guide_1_-4.25
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port11_guide_1_4.25
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port11_spring_1_-2.8
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port11_spring_1_0
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port11_spring_1_2.8
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port11_subtle_recessed_contact_ro
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing BUSINESS_PORT_13_QSFP28_EMPTY
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port13_recessed_connector_stop
Fra:1 Mem:185.18M (Peak 200.51M) | Time:00:02.04 | Syncing Port13_connector_contact_surround
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port13_guide_-1_-4.25
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port13_guide_-1_4.25
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port13_spring_-1_-2.8
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port13_spring_-1_0
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port13_spring_-1_2.8
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port13_guide_1_-4.25
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port13_guide_1_4.25
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port13_spring_1_-2.8
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port13_spring_1_0
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port13_spring_1_2.8
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port13_subtle_recessed_contact_ro
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing BUSINESS_PORT_15_QSFP28_EMPTY
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port15_recessed_connector_stop
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port15_connector_contact_surround
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port15_guide_-1_-4.25
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port15_guide_-1_4.25
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port15_spring_-1_-2.8
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port15_spring_-1_0
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port15_spring_-1_2.8
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port15_guide_1_-4.25
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port15_guide_1_4.25
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port15_spring_1_-2.8
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port15_spring_1_0
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port15_spring_1_2.8
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port15_subtle_recessed_contact_ro
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing BUSINESS_PORT_17_QSFP28_EMPTY
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port17_recessed_connector_stop
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port17_connector_contact_surround
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port17_guide_-1_-4.25
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port17_guide_-1_4.25
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port17_spring_-1_-2.8
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port17_spring_-1_0
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port17_spring_-1_2.8
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port17_guide_1_-4.25
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port17_guide_1_4.25
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port17_spring_1_-2.8
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port17_spring_1_0
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port17_spring_1_2.8
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port17_subtle_recessed_contact_ro
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing BUSINESS_PORT_19_QSFP28_EMPTY
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port19_recessed_connector_stop
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port19_connector_contact_surround
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port19_guide_-1_-4.25
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port19_guide_-1_4.25
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port19_spring_-1_-2.8
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port19_spring_-1_0
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port19_spring_-1_2.8
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port19_guide_1_-4.25
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port19_guide_1_4.25
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port19_spring_1_-2.8
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port19_spring_1_0
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port19_spring_1_2.8
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port19_subtle_recessed_contact_ro
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing BUSINESS_PORT_21_QSFP28_EMPTY
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port21_recessed_connector_stop
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port21_connector_contact_surround
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port21_guide_-1_-4.25
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port21_guide_-1_4.25
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port21_spring_-1_-2.8
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port21_spring_-1_0
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port21_spring_-1_2.8
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port21_guide_1_-4.25
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port21_guide_1_4.25
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port21_spring_1_-2.8
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port21_spring_1_0
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port21_spring_1_2.8
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port21_subtle_recessed_contact_ro
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing BUSINESS_PORT_23_QSFP28_EMPTY
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port23_recessed_connector_stop
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port23_connector_contact_surround
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port23_guide_-1_-4.25
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port23_guide_-1_4.25
Fra:1 Mem:185.21M (Peak 200.51M) | Time:00:02.04 | Syncing Port23_spring_-1_-2.8
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port23_spring_-1_0
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port23_spring_-1_2.8
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port23_guide_1_-4.25
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port23_guide_1_4.25
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port23_spring_1_-2.8
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port23_spring_1_0
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port23_spring_1_2.8
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port23_subtle_recessed_contact_ro
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing BUSINESS_PORT_25_QSFP28_EMPTY
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port25_recessed_connector_stop
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port25_connector_contact_surround
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port25_guide_-1_-4.25
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port25_guide_-1_4.25
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port25_spring_-1_-2.8
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port25_spring_-1_0
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port25_spring_-1_2.8
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port25_guide_1_-4.25
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port25_guide_1_4.25
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port25_spring_1_-2.8
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port25_spring_1_0
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port25_spring_1_2.8
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port25_subtle_recessed_contact_ro
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing BUSINESS_PORT_27_QSFP28_EMPTY
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port27_recessed_connector_stop
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port27_connector_contact_surround
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port27_guide_-1_-4.25
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port27_guide_-1_4.25
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port27_spring_-1_-2.8
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port27_spring_-1_0
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port27_spring_-1_2.8
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port27_guide_1_-4.25
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port27_guide_1_4.25
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port27_spring_1_-2.8
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port27_spring_1_0
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port27_spring_1_2.8
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing Port27_subtle_recessed_contact_ro
Fra:1 Mem:185.22M (Peak 200.51M) | Time:00:02.04 | Syncing BUSINESS_PORT_29_QSFP28_EMPTY
