Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Project/rack-device-3d/Cisco-N9KC9336C-FX2/v001/qa/GLB-reimport-verification.blend"
Fra:1 Mem:223.59M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | USB_A_contact_0.001
Fra:1 Mem:223.61M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | USB_A_black_tongue.001
Fra:1 Mem:223.63M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | REAR_STS_unpowered_indicator.001
Fra:1 Mem:223.64M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | REAR_STS_legend.001
Fra:1 Mem:223.68M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Rear_service_retention_screw.001
Fra:1 Mem:223.71M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Rear_service_panel_true_apertures.001
Fra:1 Mem:223.37M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Pair01_internal_cooling_shelf.001
Fra:1 Mem:223.39M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Pair01_stainless_shell_29mm_deep.001
Fra:1 Mem:223.42M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Rear_P2_arrow_legend.001
Fra:1 Mem:223.44M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_BLUE_release_latch_-1.001
Fra:1 Mem:223.43M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_recessed_connector_stop.001
Fra:1 Mem:223.44M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_BLUE_release_latch_1.001
Fra:1 Mem:223.45M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_guide_5.001
Fra:1 Mem:223.51M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_-1_0.001
Fra:1 Mem:223.53M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_-1_1.001
Fra:1 Mem:223.57M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_guide_-5.001
Fra:1 Mem:223.55M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_-1_2.001
Fra:1 Mem:223.59M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_-1_3.001
Fra:1 Mem:223.58M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_deep_metal_cage.001
Fra:1 Mem:223.65M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_-1_4.001
Fra:1 Mem:223.68M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_-1_5.001
Fra:1 Mem:223.66M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_contact_9.001
Fra:1 Mem:223.72M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_contact_8.001
Fra:1 Mem:223.68M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_-1_6.001
