Code executed successfully: 21:50:14 | ERROR: Draco mesh compression is not available because library could not be found at /usr/bin/4.0/python/lib/python3.12/site-packages/libextern_draco.so
21:50:15 | INFO: Extracting primitive: Fan2_blade_-1_5
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_blade_-1_6
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_hub_-1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_blade_1_0
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_blade_1_1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_blade_1_2
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_blade_1_3
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_blade_1_4
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_blade_1_5
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_blade_1_6
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_hub_1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_rotor_housing_-1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_rotor_housing_1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_top_retention_rail_-1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_top_retention_rail_1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan2_true_honeycomb_front_grille
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_BLUE_release_latch_-1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_BLUE_release_latch_1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_fine_vertical_thumb_rib_-1_0
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_fine_vertical_thumb_rib_-1_1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_fine_vertical_thumb_rib_-1_2
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_fine_vertical_thumb_rib_-1_3
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_fine_vertical_thumb_rib_-1_4
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_fine_vertical_thumb_rib_-1_5
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_fine_vertical_thumb_rib_-1_6
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_fine_vertical_thumb_rib_-1_7
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_fine_vertical_thumb_rib_-1_8
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_fine_vertical_thumb_rib_-1_9
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_fine_vertical_thumb_rib_1_0
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_fine_vertical_thumb_rib_1_1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_fine_vertical_thumb_rib_1_2
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_fine_vertical_thumb_rib_1_3
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_fine_vertical_thumb_rib_1_4
21:50:15 | INFO: Primitives created: 1
