Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/model/12-persistent-label-uv.blend"
Fra:22 Mem:259.32M (Peak 259.33M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Power_symbol_stem_1
Fra:22 Mem:259.27M (Peak 259.33M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | ID_button_lens_1
Fra:22 Mem:259.30M (Peak 259.33M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | ID_button_print_1
Fra:22 Mem:259.30M (Peak 259.33M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | ID_inner_white_disc_1
Fra:22 Mem:259.56M (Peak 259.56M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | ID_information_symbol_1
Fra:22 Mem:258.49M (Peak 259.56M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_node_number_1
Fra:22 Mem:258.59M (Peak 259.56M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_mapping_arrow_1
Fra:22 Mem:258.59M (Peak 259.56M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Power_symbol_arc_2
Fra:22 Mem:258.72M (Peak 259.56M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Power_symbol_stem_2
Fra:22 Mem:258.74M (Peak 259.56M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_node_number_2
Fra:22 Mem:258.74M (Peak 259.56M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Captive_screw_knurled_grip_-1
Fra:22 Mem:258.94M (Peak 259.56M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Captive_screw_Phillips_-1_recessed_head
Fra:22 Mem:258.95M (Peak 259.56M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Captive_screw_Phillips_-1_recess_floor
Fra:22 Mem:259.31M (Peak 259.56M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Captive_screw_front_bead_-1
Fra:22 Mem:259.51M (Peak 259.56M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | C6400_official_badge
Fra:22 Mem:259.51M (Peak 259.56M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Power_symbol_arc_3
Fra:22 Mem:259.65M (Peak 259.65M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Power_symbol_stem_3
Fra:22 Mem:259.64M (Peak 259.65M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_node_number_3
Fra:22 Mem:259.35M (Peak 259.65M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_mapping_arrow_3
Fra:22 Mem:259.54M (Peak 259.65M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Power_symbol_stem_4
Fra:22 Mem:260.09M (Peak 260.09M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_node_number_4
Fra:22 Mem:260.62M (Peak 260.62M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | EST_front_tag_blue_edge
Fra:22 Mem:261.34M (Peak 261.34M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Bay_index_00
Fra:22 Mem:261.35M (Peak 261.35M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Bay_mapping_triangle_0
Fra:22 Mem:261.36M (Peak 261.36M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Bay_index_01
Fra:22 Mem:261.37M (Peak 261.37M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Bay_index_02
