Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/model/DELL-PowerEdge-C6420-4N-24SFF.blend"
Fra:22 Mem:249.44M (Peak 249.44M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.012
Fra:22 Mem:249.33M (Peak 249.44M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.013
Fra:22 Mem:249.71M (Peak 249.71M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.014
Fra:22 Mem:249.97M (Peak 250.01M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.015
Fra:22 Mem:251.79M (Peak 251.79M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.016
Fra:22 Mem:251.96M (Peak 251.96M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.017
Fra:22 Mem:252.03M (Peak 252.03M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.018
Fra:22 Mem:252.41M (Peak 252.41M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.019
Fra:22 Mem:252.48M (Peak 252.48M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.020
Fra:22 Mem:253.40M (Peak 253.40M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.021
Fra:22 Mem:253.83M (Peak 253.83M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.022
Fra:22 Mem:253.70M (Peak 253.83M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.023
Fra:22 Mem:253.73M (Peak 253.83M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Rear_cover_flush_screw_recessed_head
Fra:22 Mem:253.93M (Peak 253.93M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Rear_cover_flush_screw_recessed_head.001
Fra:22 Mem:254.07M (Peak 254.07M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Rear_cover_flush_screw_recessed_head.002
Fra:22 Mem:255.03M (Peak 255.03M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Rear_cover_flush_screw_recessed_head.003
Fra:22 Mem:256.40M (Peak 256.40M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Midheight_sled_shelf
Fra:22 Mem:256.42M (Peak 256.42M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Central_PSU_channel_divider
Fra:22 Mem:256.43M (Peak 256.43M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_backplane_shadow
Fra:22 Mem:256.15M (Peak 256.43M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Hidden_backplane_socket
Fra:22 Mem:256.06M (Peak 256.43M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Rack_ear_mount_-1
Fra:22 Mem:255.52M (Peak 256.43M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | PSU2_woven_edge_fibres
Fra:22 Mem:255.63M (Peak 256.43M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_punched_cheek_-1
Fra:22 Mem:255.89M (Peak 256.43M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cage_side_return_-1
Fra:22 Mem:256.13M (Peak 256.43M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Chrome_lifting_handle_-1
Fra:22 Mem:256.12M (Peak 256.43M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Handle_flat_anchor_-1
Fra:22 Mem:256.06M (Peak 256.43M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Chrome_lifting_handle_1
Fra:22 Mem:256.10M (Peak 256.43M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Control_face_inset_-1
Fra:22 Mem:256.69M (Peak 256.69M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Control_face_bottom_clip_-1
Fra:22 Mem:256.86M (Peak 256.86M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | DELL_EMC_official_badge
Fra:22 Mem:256.87M (Peak 256.87M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Power_button_lens_1
Fra:22 Mem:256.93M (Peak 256.93M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Power_outer_white_print_1
Fra:22 Mem:256.17M (Peak 256.93M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Power_symbol_arc_1
Fra:22 Mem:256.44M (Peak 256.93M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Power_symbol_stem_1
Fra:22 Mem:256.79M (Peak 256.93M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | ID_button_lens_1
Fra:22 Mem:257.00M (Peak 257.00M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | ID_button_print_1
Fra:22 Mem:257.00M (Peak 257.00M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_node_number_1
Fra:22 Mem:257.04M (Peak 257.05M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_mapping_arrow_1
Fra:22 Mem:257.07M (Peak 257.07M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Power_symbol_arc_2
Fra:22 Mem:257.05M (Peak 257.07M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Power_symbol_stem_2
Fra:22 Mem:257.06M (Peak 257.07M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_node_number_2
Fra:22 Mem:257.07M (Peak 257.07M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Captive_screw_metal_washer_-1
Fra:22 Mem:257.16M (Peak 257.16M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Captive_screw_knurled_grip_-1
Fra:22 Mem:257.30M (Peak 257.30M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Captive_screw_Phillips_-1_recessed_head
Fra:22 Mem:257.73M (Peak 257.73M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Captive_screw_Phillips_-1_recess_floor
