Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/model/09-material-and-label-review.blend"
Fra:22 Mem:295.33M (Peak 295.33M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_-1_fastener_0_recessed_head
Fra:22 Mem:295.44M (Peak 295.44M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_-1_fastener_0_recess_floor
Fra:22 Mem:295.92M (Peak 295.92M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_-1_fastener_1_recessed_head
Fra:22 Mem:296.00M (Peak 296.00M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_-1_fastener_1_recess_floor
Fra:22 Mem:296.06M (Peak 296.06M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_-1_fastener_2_recessed_head
Fra:22 Mem:296.53M (Peak 296.53M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_-1_fastener_2_recess_floor
Fra:22 Mem:296.47M (Peak 296.53M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_-1_fastener_3_recessed_head
Fra:22 Mem:296.48M (Peak 296.53M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_-1_fastener_3_recess_floor
Fra:22 Mem:296.54M (Peak 296.54M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_-1_fastener_4_recessed_head
Fra:22 Mem:296.82M (Peak 296.82M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_-1_fastener_4_recess_floor
Fra:22 Mem:296.86M (Peak 296.86M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_-1_fastener_5_recessed_head
Fra:22 Mem:296.86M (Peak 296.86M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_-1_fastener_5_recess_floor
Fra:22 Mem:296.92M (Peak 296.92M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_-1_fastener_6_recessed_head
Fra:22 Mem:297.34M (Peak 297.34M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_-1_fastener_6_recess_floor
Fra:22 Mem:297.38M (Peak 297.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_-1_fastener_7_recessed_head
Fra:22 Mem:297.33M (Peak 297.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_-1_fastener_7_recess_floor
Fra:22 Mem:297.38M (Peak 297.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_-1_fastener_8_recessed_head
Fra:22 Mem:297.72M (Peak 297.72M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_-1_fastener_8_recess_floor
Fra:22 Mem:297.73M (Peak 297.73M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_-1_fastener_9_recessed_head
Fra:22 Mem:297.93M (Peak 297.93M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_-1_fastener_9_recess_floor
Fra:22 Mem:297.94M (Peak 297.94M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_-1_fastener_10_recessed_head
Fra:22 Mem:298.00M (Peak 298.00M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_-1_fastener_10_recess_floor
Fra:22 Mem:298.04M (Peak 298.04M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_-1_clinch_0
Fra:22 Mem:298.03M (Peak 298.04M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Side_-1_clinch_2
