Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/model/11-clear-original-labels.blend"
Fra:22 Mem:253.46M (Peak 253.46M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.014
Fra:22 Mem:253.23M (Peak 253.46M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.015
Fra:22 Mem:253.21M (Peak 253.46M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.016
Fra:22 Mem:253.28M (Peak 253.46M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.017
Fra:22 Mem:253.46M (Peak 253.46M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.018
Fra:22 Mem:253.46M (Peak 253.46M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.019
Fra:22 Mem:254.75M (Peak 254.75M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.020
Fra:22 Mem:255.16M (Peak 255.16M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.021
Fra:22 Mem:255.10M (Peak 255.16M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.022
Fra:22 Mem:255.18M (Peak 255.18M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.023
Fra:22 Mem:254.97M (Peak 255.18M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Rear_cover_flush_screw_recessed_head
Fra:22 Mem:255.19M (Peak 255.19M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Rear_cover_flush_screw_recessed_head.001
Fra:22 Mem:255.63M (Peak 255.63M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Rear_cover_flush_screw_recessed_head.002
Fra:22 Mem:255.70M (Peak 255.70M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Rear_cover_flush_screw_recessed_head.003
Fra:22 Mem:255.98M (Peak 255.98M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | PSU2_woven_edge_fibres
Fra:22 Mem:257.08M (Peak 257.08M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Midheight_sled_shelf
