Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/qa/GLB-reimport-verification.blend"
Scene switch for render: 'C6420_GLB_REIMPORT_QA' in file: '/root/Blender/DELL-C6420/v002/qa/GLB-reimport-verification.blend'
Fra:1 Mem:357.03M (Peak 357.12M) | Time:00:00.47 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.032
Fra:1 Mem:356.93M (Peak 357.12M) | Time:00:00.48 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.033
Fra:1 Mem:357.97M (Peak 358.05M) | Time:00:00.48 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.034
Fra:1 Mem:357.97M (Peak 358.05M) | Time:00:00.48 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.035
Fra:1 Mem:357.38M (Peak 358.05M) | Time:00:00.48 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU2_curved_fan_vane_6.001
Fra:1 Mem:357.94M (Peak 358.05M) | Time:00:00.48 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU2_curved_fan_vane_5.001
Fra:1 Mem:358.16M (Peak 358.16M) | Time:00:00.48 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU2_curved_fan_vane_4.001
Fra:1 Mem:358.22M (Peak 358.22M) | Time:00:00.48 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU2_curved_fan_vane_3.001
Fra:1 Mem:358.45M (Peak 358.45M) | Time:00:00.48 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU2_curved_fan_vane_2.001
Fra:1 Mem:358.91M (Peak 358.91M) | Time:00:00.48 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU2_curved_fan_vane_1.001
