Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/qa/GLB-reimport-verification.blend"
Scene switch for render: 'C6420_GLB_REIMPORT_QA' in file: '/root/Blender/DELL-C6420/v002/qa/GLB-reimport-verification.blend'
Fra:1 Mem:357.29M (Peak 357.29M) | Time:00:00.31 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU2_curved_fan_vane_4.001
Fra:1 Mem:357.31M (Peak 357.31M) | Time:00:00.31 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU2_curved_fan_vane_3.001
Fra:1 Mem:357.33M (Peak 357.33M) | Time:00:00.31 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU2_curved_fan_vane_2.001
Fra:1 Mem:357.45M (Peak 357.45M) | Time:00:00.31 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU2_curved_fan_vane_1.001
Fra:1 Mem:357.47M (Peak 357.47M) | Time:00:00.31 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU2_curved_fan_vane_0.001
Fra:1 Mem:357.50M (Peak 357.50M) | Time:00:00.31 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_woven_extraction_loop.001
Fra:1 Mem:358.14M (Peak 358.14M) | Time:00:00.31 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.030
Fra:1 Mem:358.05M (Peak 358.14M) | Time:00:00.31 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_woven_edge_fibres.001
Fra:1 Mem:358.32M (Peak 358.32M) | Time:00:00.31 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.031
Fra:1 Mem:357.65M (Peak 358.32M) | Time:00:00.31 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.032
Fra:1 Mem:358.15M (Peak 358.32M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.033
Fra:1 Mem:358.15M (Peak 358.32M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.034
Fra:1 Mem:358.21M (Peak 358.32M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.035
Fra:1 Mem:359.06M (Peak 359.06M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.036
Fra:1 Mem:359.32M (Peak 359.32M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.037
Fra:1 Mem:358.78M (Peak 359.32M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_vertical_pull_anchor.001
Fra:1 Mem:359.13M (Peak 359.32M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.038
Fra:1 Mem:359.33M (Peak 359.33M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_side_shell.002
Fra:1 Mem:359.44M (Peak 359.44M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.039
Fra:1 Mem:359.95M (Peak 359.95M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.040
Fra:1 Mem:359.93M (Peak 359.95M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_round_EPP_label_substrate.001
