Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v001/model/06-geometry-verified.blend"
Fra:1 Mem:99.70M (Peak 99.70M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_SFP_retention.001
Fra:1 Mem:99.70M (Peak 99.70M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_SFP_inner_contact.004
Fra:1 Mem:99.71M (Peak 99.71M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_SFP_inner_contact.005
Fra:1 Mem:99.71M (Peak 99.71M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_SFP_inner_contact.006
Fra:1 Mem:99.72M (Peak 99.72M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_SFP_inner_contact.007
Fra:1 Mem:99.72M (Peak 99.72M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_micro_USB_sidewall
Fra:1 Mem:99.72M (Peak 99.72M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_micro_USB_horizontalwall
Fra:1 Mem:99.89M (Peak 99.89M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_micro_USB_sidewall.001
Fra:1 Mem:99.89M (Peak 99.89M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_micro_USB_tongue
Fra:1 Mem:99.89M (Peak 99.89M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_mini_DisplayPort_recess_back
Fra:1 Mem:99.91M (Peak 99.91M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_mini_DisplayPort_sidewall
Fra:1 Mem:99.91M (Peak 99.91M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_mini_DisplayPort_horizontalwall
Fra:1 Mem:99.92M (Peak 99.92M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_mini_DisplayPort_sidewall.001
Fra:1 Mem:99.93M (Peak 99.93M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_mini_DisplayPort_tongue
Fra:1 Mem:99.93M (Peak 99.93M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_iDRAC_RJ45_recess_back
Fra:1 Mem:99.94M (Peak 99.94M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_iDRAC_RJ45_sidewall
Fra:1 Mem:99.95M (Peak 99.95M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_iDRAC_RJ45_horizontalwall
Fra:1 Mem:99.96M (Peak 99.96M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_iDRAC_RJ45_sidewall.001
Fra:1 Mem:99.96M (Peak 99.96M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_iDRAC_RJ45_horizontalwall.001
Fra:1 Mem:99.97M (Peak 99.97M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_RJ45_contact
Fra:1 Mem:99.97M (Peak 99.97M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_RJ45_contact.002
Fra:1 Mem:99.98M (Peak 99.98M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_RJ45_contact.003
Fra:1 Mem:99.99M (Peak 99.99M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_RJ45_contact.004
Fra:1 Mem:99.99M (Peak 99.99M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_RJ45_contact.005
Fra:1 Mem:99.99M (Peak 99.99M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_RJ45_contact.006
Fra:1 Mem:99.99M (Peak 99.99M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_RJ45_contact.007
Fra:1 Mem:99.99M (Peak 99.99M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_RJ45_indicator
Fra:1 Mem:100.07M (Peak 100.07M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_long_grip_sidewall
Fra:1 Mem:100.09M (Peak 100.09M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_long_grip_horizontalwall
Fra:1 Mem:100.09M (Peak 100.09M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_long_grip_sidewall.001
Fra:1 Mem:100.09M (Peak 100.10M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_long_grip_horizontalwall.001
Fra:1 Mem:100.10M (Peak 100.10M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_grip_lower_rail
Fra:1 Mem:100.11M (Peak 100.11M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_blue_release_paddle
Fra:1 Mem:100.11M (Peak 100.11M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_paddle_inner_grip
Fra:1 Mem:100.11M (Peak 100.11M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_rear_power
Fra:1 Mem:100.13M (Peak 100.13M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_iDRAC_mark
Fra:1 Mem:100.30M (Peak 100.30M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_DP_mark
Fra:1 Mem:100.32M (Peak 100.32M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_EST_mark
Fra:1 Mem:100.32M (Peak 100.32M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_side_rail
Fra:1 Mem:100.34M (Peak 100.34M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_side_rail.001
Fra:1 Mem:100.35M (Peak 100.35M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_perforated_rear
Fra:1 Mem:100.36M (Peak 100.36M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_rear_horizontal_lip.001
Fra:1 Mem:100.36M (Peak 100.36M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_rear_vertical_lip
Fra:1 Mem:100.62M (Peak 100.62M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_rear_vertical_lip.001
Fra:1 Mem:100.63M (Peak 100.63M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB3_0_recess_back
Fra:1 Mem:100.51M (Peak 100.63M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB3_0_horizontalwall
Fra:1 Mem:100.52M (Peak 100.63M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB3_0_sidewall.001
Fra:1 Mem:100.50M (Peak 100.63M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB3_0_horizontalwall.001
Fra:1 Mem:100.50M (Peak 100.63M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB3_0_tongue
Fra:1 Mem:100.66M (Peak 100.66M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB_contact.001
Fra:1 Mem:100.98M (Peak 100.98M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB_contact.003
Fra:1 Mem:101.00M (Peak 101.00M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB3_1_sidewall
Fra:1 Mem:101.01M (Peak 101.01M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB3_1_horizontalwall
