Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v001/model/07-finish-reviewed.blend"
Fra:1 Mem:100.32M (Peak 100.32M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_SFP_1_sidewall.001
Fra:1 Mem:100.33M (Peak 100.33M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_SFP_1_horizontalwall.001
Fra:1 Mem:100.34M (Peak 100.34M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_SFP_inner_contact.005
Fra:1 Mem:100.35M (Peak 100.35M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_SFP_inner_contact.006
Fra:1 Mem:100.35M (Peak 100.35M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_micro_USB_recess_back
Fra:1 Mem:100.35M (Peak 100.35M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_micro_USB_sidewall
Fra:1 Mem:100.36M (Peak 100.36M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_micro_USB_horizontalwall
Fra:1 Mem:100.37M (Peak 100.37M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_micro_USB_horizontalwall.001
Fra:1 Mem:100.37M (Peak 100.37M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_micro_USB_tongue
Fra:1 Mem:100.39M (Peak 100.39M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_mini_DisplayPort_recess_back
Fra:1 Mem:100.39M (Peak 100.39M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_mini_DisplayPort_sidewall
Fra:1 Mem:100.39M (Peak 100.39M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_mini_DisplayPort_horizontalwall
Fra:1 Mem:100.40M (Peak 100.40M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_mini_DisplayPort_sidewall.001
Fra:1 Mem:100.41M (Peak 100.41M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_mini_DisplayPort_horizontalwall.001
Fra:1 Mem:100.41M (Peak 100.41M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_iDRAC_RJ45_recess_back
Fra:1 Mem:100.42M (Peak 100.42M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_iDRAC_RJ45_sidewall
Fra:1 Mem:100.42M (Peak 100.42M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_iDRAC_RJ45_horizontalwall
