Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v001/model/DELL-PowerEdge-C6420-4N-24SFF.blend"
Fra:1 Mem:107.16M (Peak 107.16M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_USB_contact.006
Fra:1 Mem:107.17M (Peak 107.17M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_USB_contact.007
Fra:1 Mem:107.17M (Peak 107.17M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_SFP_0_sidewall
Fra:1 Mem:107.18M (Peak 107.18M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_SFP_0_horizontalwall
Fra:1 Mem:107.18M (Peak 107.18M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_SFP_0_horizontalwall.001
Fra:1 Mem:107.34M (Peak 107.34M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_SFP_retention
Fra:1 Mem:107.34M (Peak 107.34M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_SFP_inner_contact
Fra:1 Mem:107.35M (Peak 107.35M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_SFP_inner_contact.002
Fra:1 Mem:107.35M (Peak 107.35M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_SFP_inner_contact.003
Fra:1 Mem:107.35M (Peak 107.35M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_SFP_1_recess_back
Fra:1 Mem:107.36M (Peak 107.36M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_SFP_1_sidewall
Fra:1 Mem:107.38M (Peak 107.38M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_SFP_1_horizontalwall
Fra:1 Mem:107.38M (Peak 107.38M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_SFP_retention.001
Fra:1 Mem:107.38M (Peak 107.38M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_SFP_inner_contact.004
Fra:1 Mem:107.54M (Peak 107.54M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_SFP_inner_contact.005
Fra:1 Mem:107.54M (Peak 107.54M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_SFP_inner_contact.007
Fra:1 Mem:107.55M (Peak 107.55M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_micro_USB_recess_back
Fra:1 Mem:107.56M (Peak 107.56M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_micro_USB_sidewall
Fra:1 Mem:107.56M (Peak 107.56M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_micro_USB_sidewall.001
Fra:1 Mem:107.57M (Peak 107.57M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_micro_USB_horizontalwall.001
Fra:1 Mem:107.57M (Peak 107.57M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_micro_USB_tongue
Fra:1 Mem:107.59M (Peak 107.59M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_mini_DisplayPort_recess_back
Fra:1 Mem:107.59M (Peak 107.59M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_mini_DisplayPort_sidewall.001
Fra:1 Mem:107.60M (Peak 107.60M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_mini_DisplayPort_horizontalwall.001
Fra:1 Mem:107.61M (Peak 107.61M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_iDRAC_RJ45_recess_back
Fra:1 Mem:107.62M (Peak 107.62M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_iDRAC_RJ45_sidewall
Fra:1 Mem:107.63M (Peak 107.63M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_iDRAC_RJ45_horizontalwall
Fra:1 Mem:107.64M (Peak 107.64M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_iDRAC_RJ45_sidewall.001
Fra:1 Mem:107.64M (Peak 107.64M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_RJ45_contact
Fra:1 Mem:107.64M (Peak 107.64M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_RJ45_contact.001
Fra:1 Mem:107.65M (Peak 107.65M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_RJ45_contact.002
Fra:1 Mem:107.65M (Peak 107.65M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_RJ45_contact.003
Fra:1 Mem:107.65M (Peak 107.65M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_RJ45_contact.006
Fra:1 Mem:107.66M (Peak 107.66M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_RJ45_contact.007
Fra:1 Mem:107.66M (Peak 107.66M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_RJ45_indicator
